title,genre_id,age_release,description,image_url
Dora and the Lost City of Gold,"12,35,10751,14",2019,"Dora, a girl who has spent most of her life exploring the jungle with her parents, now must navigate her most dangerous adventure yet: high school. Always the explorer, Dora quickly finds herself leading Boots (her best friend, a monkey), Diego, and a rag tag group of teens on an adventure to save her parents and solve the impossible mystery behind a lost Inca civilization.",/xvYCZ740XvngXK0FNeSNVTJJJ5v.jpg
Undisputed II: Last Man Standing,"28,80,53",2006,"Heavyweight Champ George ""Iceman"" Chambers is sent to a Russian jail on trumped-up drug charges. In order to win his freedom he must fight against the jailhouse fighting champ Uri Boyka in a battle to the death. This time he is not fighting for a title, he is fighting for his life!",/4bE9t5ctBZXYV3GJ6Xr0l4KRplv.jpg
Balkan Line,"18,28,10752",2019,"After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK. A small band of soldiers must take over the Slatina airport, and hold it until the Russian peacekeepers arrive.",/okiB4NUriKKbGjAtVSzveicPTtu.jpg
Kingpin,35,1996,"After bowler Roy Munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. That is, until he uncovers the next big thing: an Amish kid named Ishmael. So, the corrupt and the hopelessly naive hit the circuit intent on settling an old score with Big Ern.",/lVpejjxzBujSjLpxQ7hGe1s0wP2.jpg
Beverly Hills Cop II,"28,35,80",1987,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",/egDakU8O5yUwpUJP9IMAUVtIDll.jpg
Enola Holmes 2,"12,9648,80",2022,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",/tegBpjM5ODoYoM1NjaiHVLEA0QM.jpg
Huling Tikim,18,2024,Details here,/tYf6sZDsGIjZTjb8bqvBl6sZ5ts.jpg
Drag Me to Hell,"27,53",2009,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",/fdyejM5Zd6dsa0YyWa02ZAKwQzK.jpg
The Maltese Falcon,"9648,80,53",1941,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg
Death Race: Inferno,"28,878,53",2013,"Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",/aRV4oC61nmBqypSaXtMXOk99dOM.jpg
Cloudy with a Chance of Meatballs,"16,35,10751",2009,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",/qhOhIKf7QEyQ5dMrRUqs5eTX1Oq.jpg
Sexual Chronicles of a French Family,"35,18,10749",2012,Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.,/pebwFXu7izkXf8b8soWVXoRyJoR.jpg
Colonia,"18,36",2015,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",/p7oGFkMGaQR27R1olN9RoMzg4vS.jpg
The Woman King,"28,18,36",2022,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",/438QXt1E3WJWb3PqNniK0tAE5c1.jpg
I Care a Lot,"35,80,53,18",2021,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,/gKnhEsjNefpKnUdAkn7INzIFLSu.jpg
Wings of Desire,"18,14,10749",1987,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds -- with some words of wisdom from actor Peter Falk -- that it might be possible for him to take human form.",/iZQs2vUeCzvS1KfZJ6uYNCGJBBV.jpg
Hellboy,"14,28",2004,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed ""Hellboy"". Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research & Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.",/xohSnVY9gub1Z30CdrikW9yygTW.jpg
Stillwater,"18,80,53",2021,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",/cPdmPwcIcmu0ugfKcdFtI3vmOJq.jpg
Ambulance,"53,28,80",2022,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",/kuxjMVuc3VTD7p42TZpJNsSrM1V.jpg
The Texas Chainsaw Massacre,27,2003,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",/81EOg37tjNCYXk03Ey9mSrWq6gi.jpg
Leap Year,"10749,35",2010,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",/i86hMi5iEF3WnYLCaGHdT5FPdYg.jpg
Girl in the Basement,"53,80,10770",2021,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",/qmddUxRwbsxHa7oEXm4PWh1KZe8.jpg
Inferno,"9648,53,28",2016,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",/dtMJQzCxw2AY6tfcxhzlFpiD3BM.jpg
50 First Dates,"35,10749",2004,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",/5NxTW4SS6aUKZYnbQzh7UYNivd.jpg
The Invitation,"53,27",2016,"Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something.",/4gxZW8AHg9kIOh5BgaSrq5gO1KB.jpg
Dragon Ball Z: Cooler's Revenge,"28,16,878",1991,"After defeating Frieza, Goku returns to Earth and goes on a camping trip with Gohan and Krillin. Everything is normal until Cooler - Frieza's brother - sends three henchmen after Goku. A long fight ensues between our heroes and Cooler, in which he transforms into the fourth stage of his evolution and has the edge in the fight... until Goku transforms into a Super Saiyan.",/sN4HyDkBFGtNNg9fm2iETQNUMSt.jpg
Zombie Flesh Eaters,27,1979,"On the Caribbean island of Matul, white doctor David Menard is trying to stem the tide of cannibal zombies that are returning from the dead.  Arriving on the island are Anne and reporter Peter West who are looking for Anne's missing father.  The pair soon find themselves under attack from the zombies.",/giJlnw8ItTJb7IL053Z47B6S1xf.jpg
Teen Titans: Trouble in Tokyo,"16,28,878,10770",2006,"America's coolest heroes Teen Titans head to Japan as they spring into action when a new threat, the dichromatic ninja Saico-Tek, appears in their city. A chase across the city ensues, ending at Titans Tower. Saico-Tek is interrogated by Robin with the aid of a translation program, and reveals the identity of the one who sent him. The ninja then escapes his bonds and vanishes after destroying a fire sprinkler, and the Titans' only lead is to search for his mysterious master - the shadowy figure known as Brushogun.",/4wMlDE1HzkVyYeDKuY1oDOWQlN2.jpg
Who Framed Roger Rabbit,"14,16,35,80",1988,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",/lYfRc57Kx9VgLZ48iulu0HKnM15.jpg
Poltergeist,27,2015,"A family's suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.",/zw5RhNAVa7g6pX0KGeNx9EmS7Je.jpg
Cloud Atlas,"18,878",2012,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",/mxcvshnizr7frjN8WMKPQRJ3LmY.jpg
Epic,"16,12,10751,14",2013,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,/81cSsWzjTfR3cJSqnTiHwy1eyPK.jpg
"Love, Rosie","10749,18,35",2014,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",/rpD0t7DhzJVadnzgxSYrqljQTL2.jpg
